Word,Translation
que,that
de,from
no,no
a,to
la,the
el,the
es,it is
y,and
en,on
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,I know
con,with
para,for
mi,me
está,is
si,Yes
bien,well
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,your
aquí,here
del,of the
al,to the
como,What
le,you
más,plus
esto,this
ya,already
todo,everything
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,am
tengo,I have
nos,us
tú,your
nada,any
cuando,when
ha,he has
este,this
sé,he
estás,these
así,So
puedo,Can I
cómo,excuse me
quiero,want
sólo,single
soy,I am
tiene,have
gracias,Thank you
o,or
él,he
bueno,well
fue,it was
ser,be
hacer,do
son,are
todos,everybody
era,was
eres,are
vez,time
tienes,you have
creo,I think
ella,she
he,He.
ese,that
voy,go
puede,may
sabes,you know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,this
dos,two
tan,so
señor,Mister
tiempo,weather
verdad,truth
estaba,was
mejor,better
están,is it so
va,he
hombre,man
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,have
puedes,you can
ahí,there
ti,you
vida,life
ver,watch
alguien,somebody
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,upon
decir,tell
uno,one
siempre,forever
oh,Oh
ir,to go
cosas,stuff
también,too
antes,before
has,HAS.
ni,neither
mis,MIS
día,day
estar,to be
estamos,we're
noche,evening
nadie,nobody
otra,other
quiere,wants
parece,It seems
nosotros,us
poco,little
padre,dad
trabajo,job
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,them
dijo,said
pasa,pass
dinero,money
hijo,child
tal,such
otro,other
hablar,talk
seguro,safe
claro,Sure
estas,are
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,from
fuera,out of
cosa,thing
tipo,kind
mañana,morning
podemos,we can
dije,I said
gran,big
necesito,needed
estado,state
podría,could
acuerdo,agreement
papá,dad
tener,to have
dice,He says
mío,Own
crees,you think
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,doing
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,has to
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
luego,later
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,import
contigo,with you
ve,go
tarde,late
oye,Hey
parte,part
haber,to have
hombres,mens
problema,trouble
mas,more
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,you guys
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,get out
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,may
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,affection
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,step
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,then
pasado,last
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I made
contra,against
auto,car
camino,path
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,bye
primero,first
debería,it should
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,While
ciudad,town
dijiste,said
espero,wait
cuánto,how many
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,leaves
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,pass
vale,okay
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,persons
capitán,captain
adelante,ahead
niño,kid
listo,Ready
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,follow
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,I suppose
manera,way
quieren,They want.
feliz,happy
significa,it means
sangre,blood
fin,end
bajo,low
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,No.
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,down
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,to get
hago,I make
señora,Ms
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,face
siquiera,even
genial,brilliant
cree,CREE.
supuesto,assumption
tomar,take
equipo,team
justo,just
juego,play
ninguna,none
matar,kill
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,Many
hubiera,had
segundo,second
aunque,although
pueda,can.
dime,tell me
igual,equal
comida,meal
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,to believe
realidad,reality
saben,Saben
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,one.
última,last.
afuera,outside
mujeres,women
pensar,to think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,You were there
vivo,alive
haga,make
queda,remains
hijos,sons
mayor,higher
fiesta,party
hacen,make
medio,half
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,room
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,Carajo.
final,final
lista,ready
trata,about
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,pretty
seguridad,security
pasando,going
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,fault
veras,you'll see
adónde,where to
buscando,searching
cuanto,how much
padres,parents
paz,peace
demonios,got damn
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,I remember
par,pair
joven,young man
seguir,continue
pueblo,village
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,to sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,latest
ésta,is
diga,SIGE.
podrías,could you
pequeña,small
cállate,shut
trato,treatment
rey,King
sucede,happens
muchachos,Boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,miss
vámonos,Let's go
nave,ship
cielo,heaven
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,girl
increíble,amazing
