Word,Translation
que,that
de,from
no,no
a,to
el,the
es,it is
y,and
en,on
lo,it
un,a
por,by
qué,that
me,I
los,the
se,I know
con,with
para,for
mi,me
está,is
si,Yes
bien,well
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,your
aquí,here
al,to the
como,What
le,you
más,plus
esto,this
ya,already
todo,everything
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,am
tengo,I have
nos,us
nada,any
este,this
sé,he
estás,these
así,So
puedo,Can I
cómo,excuse me
quiero,want
sólo,single
soy,I am
gracias,Thank you
o,or
él,he
bueno,well
fue,it was
ser,be
son,are
todos,everybody
era,was
eres,are
vez,time
tienes,you have
creo,I think
ella,she
he,He.
voy,go
puede,may
sabes,you know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,this
dos,two
tan,so
señor,Mister
tiempo,weather
verdad,truth
estaba,was
mejor,better
están,is it so
va,he
hombre,man
usted,you
mucho,much
hace,does
entonces,then
siento,I feel
tenemos,have
puedes,you can
ahí,there
ti,you
vida,life
sr,Mr
hasta,until
sin,without
solo,only
años,years
sobre,upon
decir,tell
uno,one
siempre,forever
oh,Oh
ir,to go
también,too
antes,before
ni,neither
mis,MIS
día,day
estar,to be
noche,evening
nadie,nobody
otra,other
quiere,wants
parece,It seems
nosotros,us
padre,dad
trabajo,job
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,them
pasa,pass
dinero,money
hijo,child
tal,such
otro,other
seguro,safe
claro,Sure
estas,are
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,after
momento,moment
desde,from
fuera,out of
cosa,thing
tipo,kind
mañana,morning
podemos,we can
dije,I said
gran,big
necesito,needed
estado,state
podría,could
papá,dad
tener,to have
dice,He says
mío,Own
crees,you think
buena,good
gusta,like
nuevo,new
será,will be
haciendo,doing
días,days
nombre,Name
buen,good
había,there was
tres,three
debe,has to
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
todas,all
toda,all
mujer,woman
visto,viewed
haces,you do
importa,import
contigo,with you
ve,go
tarde,late
oye,Hey
haber,to have
hombres,mens
mas,more
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,did
veo,I see
tanto,so much
razón,reason
ustedes,you guys
idea,idea
esos,those
van,go
quizá,maybe
debo,I must
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,get out
policía,policeman
realmente,Really
demasiado,too
pueden,may
cabeza,head
hemos,we have
chica,girl
cariño,affection
lado,side
allá,there
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,step
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,then
pasado,last
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I made
contra,against
auto,car
camino,path
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,bye
primero,first
debería,it should
poder,can
sería,would
historia,history
hey,Hey
mientras,While
ciudad,town
dijiste,said
espero,wait
cuánto,how many
esposa,wife
pronto,early
cualquier,any
viejo,old
debemos,must
deja,leaves
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
semana,week
pasar,pass
vale,okay
cuál,which
viene,comes
volver,return
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,persons
capitán,captain
adelante,ahead
listo,Ready
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,follow
grande,big
arriba,above
jefe,boss
habla,speaks
manera,way
quieren,They want.
feliz,happy
significa,it means
sangre,blood
fin,end
bajo,low
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,No.
diablos,Devils
necesitamos,need
durante,during
persona,person
dr,Dr.
hija,daughter
dejar,let
llegar,to get
hago,I make
señora,Ms
haya,is
doctor,doctor
gustaría,would like
tierra,Earth
cara,face
genial,brilliant
cree,CREE.
supuesto,assumption
tomar,take
equipo,team
justo,just
juego,play
ninguna,none
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,Many
hubiera,had
segundo,second
aunque,although
pueda,can.
dime,tell me
igual,equal
comida,meal
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,to believe
realidad,reality
saben,Saben
puta,bitch
deberías,you should
pregunta,question
cuatro,four
sra,Ms
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,one.
última,last.
afuera,outside
mujeres,women
pensar,to think
fueron,They were
vivir,to live
paso,He passed
malo,bad
vivo,alive
haga,make
queda,remains
hijos,sons
mayor,higher
fiesta,party
hacen,make
medio,half
basta,Enough
arma,weapon
vino,came
meses,months
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,Carajo.
final,final
lista,ready
trata,about
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,pretty
seguridad,security
pasando,going
acá,here
teléfono,telephone
murió,died
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,fault
veras,you'll see
adónde,where to
cuanto,how much
paz,peace
demonios,got damn
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,I remember
par,pair
joven,young man
pueblo,village
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
dormir,to sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
país,country
seis,six
último,latest
diga,SIGE.
podrías,could you
pequeña,small
cállate,shut
trato,treatment
sucede,happens
muchachos,Boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,miss
vámonos,Let's go
nave,ship
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,girl
increíble,amazing
además,what's more
deben,they should
libro,book
calle,Street
café,coffee
piensas,You think
hacemos,we make
queremos,we want
irme,go
perfecto,perfect
buscar,search for
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,to call
detrás,behind
viste,dresses
dile,tell him
grandes,big
recuerdas,remember
real,real
estaban,They were
mía,mine
frente,front
perdido,lost
llamo,I call
muertos,dead
millones,millions
sueño,sleep
quisiera,I'd like
habría,there would be
hará,he will do
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,strength
llamado,called
oído,hearing
dado,dice
encima,above
negro,black
usar,use
información,information
uds,You
preguntas,questions
tuvo,had
secreto,secret
vuelve,returns
miren,Look
quieras,want.
haría,would do
acaba,just
otras,Others
sientes,you feel
